"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso";"Tentativa de homicídio";"09/2017";96
"Mato Grosso";"Estupro";"10/2017";148
"Mato Grosso";"Furto de veículo";"10/2017";192
"Mato Grosso";"Homicídio doloso";"10/2017";83
"Mato Grosso";"Lesão corporal seguida de morte";"10/2017";2
"Mato Grosso";"Roubo a instituição financeira";"10/2017";0
"Mato Grosso";"Roubo de carga";"10/2017";1
"Mato Grosso";"Roubo de veículo";"10/2017";227
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"10/2017";5
"Mato Grosso";"Tentativa de homicídio";"10/2017";115
"Mato Grosso";"Estupro";"11/2017";132
"Mato Grosso";"Furto de veículo";"11/2017";251
"Mato Grosso";"Homicídio doloso";"11/2017";76
"Mato Grosso";"Lesão corporal seguida de morte";"11/2017";2
"Mato Grosso";"Roubo a instituição financeira";"11/2017";0
"Mato Grosso";"Roubo de carga";"11/2017";4
"Mato Grosso";"Roubo de veículo";"11/2017";222
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"11/2017";7
"Mato Grosso";"Tentativa de homicídio";"11/2017";117
"Mato Grosso";"Estupro";"12/2017";130
"Mato Grosso";"Furto de veículo";"12/2017";237
"Mato Grosso";"Homicídio doloso";"12/2017";97
"Mato Grosso";"Lesão corporal seguida de morte";"12/2017";1
"Mato Grosso";"Roubo a instituição financeira";"12/2017";0
"Mato Grosso";"Roubo de carga";"12/2017";5
"Mato Grosso";"Roubo de veículo";"12/2017";198
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"12/2017";4
"Mato Grosso";"Tentativa de homicídio";"12/2017";129
"Mato Grosso";"Estupro";"01/2018";134
"Mato Grosso";"Furto de veículo";"01/2018";257
"Mato Grosso";"Homicídio doloso";"01/2018";70
"Mato Grosso";"Lesão corporal seguida de morte";"01/2018";3
"Mato Grosso";"Roubo a instituição financeira";"01/2018";1
"Mato Grosso";"Roubo de carga";"01/2018";0
"Mato Grosso";"Roubo de veículo";"01/2018";212
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"01/2018";4
"Mato Grosso";"Tentativa de homicídio";"01/2018";101
"Mato Grosso";"Estupro";"02/2018";122
"Mato Grosso";"Furto de veículo";"02/2018";167
"Mato Grosso";"Homicídio doloso";"02/2018";77
