"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso do Sul";"Homicídio Doloso";"11/2013";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"11/2014";"Feminino";10
"Mato Grosso do Sul";"Homicídio Doloso";"11/2014";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"11/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"11/2015";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"11/2015";"Masculino";43
"Mato Grosso do Sul";"Homicídio Doloso";"11/2015";"Sexo NI";4
"Mato Grosso do Sul";"Homicídio Doloso";"11/2016";"Feminino";8
"Mato Grosso do Sul";"Homicídio Doloso";"11/2016";"Masculino";56
"Mato Grosso do Sul";"Homicídio Doloso";"11/2017";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"11/2017";"Masculino";41
"Mato Grosso do Sul";"Homicídio Doloso";"11/2018";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"11/2018";"Masculino";21
"Mato Grosso do Sul";"Homicídio Doloso";"11/2018";"Sexo NI";4
"Mato Grosso do Sul";"Homicídio Doloso";"12/2012";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"12/2012";"Masculino";64
"Mato Grosso do Sul";"Homicídio Doloso";"12/2012";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"12/2013";"Feminino";13
"Mato Grosso do Sul";"Homicídio Doloso";"12/2013";"Masculino";43
"Mato Grosso do Sul";"Homicídio Doloso";"12/2013";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"12/2014";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"12/2014";"Masculino";56
"Mato Grosso do Sul";"Homicídio Doloso";"12/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"12/2015";"Feminino";9
"Mato Grosso do Sul";"Homicídio Doloso";"12/2015";"Masculino";55
"Mato Grosso do Sul";"Homicídio Doloso";"12/2016";"Feminino";11
"Mato Grosso do Sul";"Homicídio Doloso";"12/2016";"Masculino";45
"Mato Grosso do Sul";"Homicídio Doloso";"12/2016";"Sexo NI";2
"Mato Grosso do Sul";"Homicídio Doloso";"12/2017";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"12/2017";"Masculino";39
"Mato Grosso do Sul";"Homicídio Doloso";"12/2017";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"12/2018";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"12/2018";"Masculino";35
"Mato Grosso do Sul";"Homicídio Doloso";"12/2018";"Sexo NI";0
